season,team,TS%,eFG%,OP_TS%,OP_eFG%,AST-TOV_R,OP_AST-TOV_R
2016,BAM,60.16414283657855,57.06149776505516,58.09099166592816,53.47127254416013,1.5264677180118358,1.534341121841122
2016,BAR,55.39212102443455,52.21199266921547,55.35183578732028,52.5389018034398,1.307011640320464,1.471185731479849
2016,BAS,56.66264367633648,52.949772769370966,56.05580797383312,52.08412012169247,1.557173090640583,1.5092857820141101
2016,CSK,62.56217961778084,57.66524305065843,56.50039484948204,52.53339778410409,1.500260326251375,1.2753696492954805
2016,DAR,55.02967834190089,51.45588180058867,57.450459991015926,54.3209828251053,1.434500844299606,1.645348002387476
2016,EFS,55.00295950441535,51.11702479364923,59.510080733015506,56.314197539029045,1.659612147112147,1.436965258253958
2016,FNR,57.7398814086143,53.99009558022947,55.98381626770195,52.84949973078686,1.4382662000309059,1.497365617474313
2016,GAL,57.023556797430906,54.5713369099966,57.80421983486073,55.03485482636905,1.8693884201366702,1.5947679172679172
2016,KAZ,56.35047893459426,51.96568862453143,57.82570818763703,54.37859735115517,1.3671175524968093,1.7114260956908014
2016,MIL,56.329730593711915,52.34949515499807,61.25133632324718,57.558029315667575,1.3774852750473627,1.4808291762703527
2016,MTA,57.312684490854735,54.42903982411393,56.66672180038178,53.42619665361657,1.3289210537322664,2.004421180671181
2016,OLY,55.52362916032676,51.626600231382106,53.5280670737553,49.54776254923159,1.2544675724745384,1.3310553335553335
2016,PAO,55.418289714142,52.36571413964296,54.65059250576086,50.92267008593019,1.6019030092714304,1.2778553250914941
2016,RED,53.805161257915906,50.04666700420362,57.47163926223248,53.93838665632636,1.4772926800867978,1.1681952515634708
2016,RMD,60.095472295455856,56.750562767045146,55.27607643394558,51.59368313790636,1.8238950863950865,1.3930669194639784
2016,ZAL,58.48605333275844,54.47819859022916,59.4809142971338,54.52225875038983,1.4987063100298395,1.6909905640168799
2017,BAM,57.841572048375426,53.2293628685598,59.727702784993106,55.419157511662355,1.4522290699496583,1.7767877492877493
2017,BAR,58.76907381187888,55.93839498749441,55.60487116957531,51.98172212138897,1.850309449179418,1.8895751906046023
2017,BAS,60.27449834685432,57.43998409193173,57.464238438961694,53.69943332892514,1.7500617146011883,1.713660633025958
2017,CSK,63.17848381640817,59.03378758888356,57.35204446641367,53.40708944861855,1.8274996079485244,1.3189722049822667
2017,EFS,54.535544798863974,50.72323698127111,61.5912850823603,58.24197570571921,1.6453897351072273,1.9620665164143425
2017,FNR,61.23818327732717,57.20639849963554,55.77015484484696,51.87807095253338,2.0202938238232355,1.491453823953824
2017,KHI,56.51029343343499,53.016729466090645,57.501603898479395,52.766902660567105,1.6405194152252978,1.4500309535951952
2017,MAL,55.322148748955144,51.596202214478666,60.12311446844799,57.48281249835972,1.7819552632883835,1.8783046623264013
2017,MIL,58.199980448583325,53.7439781707632,60.657821769520496,56.96140552228055,1.715591479670427,1.8414578014578014
2017,MTA,55.4101246836833,52.35903047288753,57.40078606661835,54.0082925454173,1.6230154295595471,1.895179588929589
2017,OLY,56.10711397483913,51.26869777183403,53.91842642783635,50.395084559203234,1.3443977075556022,1.7124941180823534
2017,PAO,56.49800125782037,53.68187322812004,56.78373212424435,52.6591140984488,1.534182734476852,1.3158873528145976
2017,RED,54.12805031054953,50.0572687455183,62.06610628493326,57.87111395921695,1.7989426287220405,1.6982638755007176
2017,RMD,60.55311108348247,56.409953559867084,55.99446637362875,51.871399933497145,1.8876220003193687,1.5819234251587193
2017,VAL,59.098618792151576,54.60019186225739,58.95513071227124,55.99926637152521,1.7874840954252718,1.7516896066896066
2017,ZAL,61.21157708585615,57.113094334475754,57.96489100593271,52.77534362670515,1.6083826931706862,1.9901293451990048
2018,BAR,57.8888950500811,54.06667460146649,56.593901796152835,53.33196485367443,1.4037586950086949,1.342901162018809
2018,BAS,58.132302662544575,54.35409120894618,58.06444699274833,54.07812820177208,1.5559477812922085,1.524549121902063
2018,BUD,54.3146547809166,51.41630709029,61.83730081789627,58.56397968631243,1.3888203463203463,2.010186295186295
2018,CAN,54.990530082599754,51.720289127999095,62.38754618803482,58.60033395006098,1.4518512756593251,1.452179260224926
2018,CSK,60.49648394446318,55.62583404919375,57.68998515821188,52.91245753220505,1.644040219040219,1.396718632674515
2018,DAR,53.51103454545076,49.81596049355895,59.259750047751105,55.27701023792251,1.2879286959743617,1.8290736333383393
2018,EFS,62.86782849449176,59.87429218989361,56.39190194805365,53.20433366631929,1.8152890899949725,1.649055342805343
2018,FNR,64.86611600593656,61.35506494660343,57.83334733216664,54.05566006963606,1.6807598365686602,1.55866779276222
2018,KHI,56.99513813535289,53.4633889466218,60.99783675664074,55.84453534186062,1.6746151941740177,1.4194358256122963
2018,MIL,59.97602631658682,55.23728272143342,59.58822447434442,56.59055558762436,1.5629910965940377,1.7846874421874424
2018,MTA,55.36347254941896,52.77975490491627,56.891602990008025,53.23169475818427,1.4331869056869058,1.425448162948163
2018,MUN,59.46420307081122,55.831389701159765,59.693730889672565,56.016207570229724,1.670413018354195,1.5275921850767054
2018,OLY,57.00583411857723,53.29575160957542,55.86463715873599,53.10873659104172,1.4610002497502497,1.6768290968290966
2018,PAO,55.35418731032036,52.44029195775441,56.74920186654904,52.71109066726668,1.6158710407239818,1.339534822475999
2018,RMD,60.411893911943395,56.7929101469277,54.294065377932014,50.81549530389663,1.927784538446303,1.5860923335923336
2018,ZAL,60.153007073699925,54.6964808482328,57.654128258296744,54.423580526566255,1.4966789365318778,1.5479858104858104
2019,ASV,54.498325082385044,50.946079154372185,59.86920937839362,56.11714222709623,1.5144913728247063,1.4940017634870575
2019,BAR,59.438700997390065,55.518356738747755,56.811304121296445,53.461615972869595,1.4635472673849865,1.2500524711309025
2019,BAS,52.81644663966483,49.805040434112556,58.86888563443337,55.1935671418743,0.9811582829126689,1.5689324020206372
2019,BER,57.14201397861526,52.54483691612865,60.978338312371406,56.91388111875046,1.545116738266893,1.7487990542595806
2019,CSK,58.56309390789434,55.25822208881786,55.10500934160512,51.02198299011562,1.5639856058973707,1.4064363876863877
2019,EFS,62.460547876921865,58.353444659458205,55.45884806893591,52.50149596256361,1.6949309858623585,1.741175191910486
2019,FNR,60.527361255483775,57.03833710344231,59.942601390917,56.08854351515791,1.4368791883497767,1.4540339452620155
2019,KHI,61.452026976380594,57.70528459987085,59.826311604994444,56.53503953163532,1.531684183644968,1.7619411581614886
2019,MIL,56.96826606389396,52.18710424356281,55.743501309894484,51.41953795024393,1.4859601899075583,1.509499670245284
2019,MTA,59.37705280611436,56.18498239882023,53.77541459923023,48.310270588893964,1.4127035570018025,1.1478572511080252
2019,MUN,56.48249291901058,52.61255394901294,59.967392800677494,56.00688167241449,1.2437862673388989,1.6034922639089304
2019,OLY,58.05655096123321,54.2873460515601,59.10356892293372,54.98924213041957,1.4627186460197297,1.4299382171931192
2019,PAO,59.12213285733253,55.68788260538373,56.17853455556336,52.997954975536054,2.041675471358134,1.5576515131468691
2019,RED,54.695016461558026,50.53467782218983,55.01796821172683,50.28075472304948,1.2773474941238099,1.4769130560797228
2019,RMD,61.22472417569449,57.70474199636151,54.261731908374784,51.13694702581379,1.7325278116944784,1.2424318658064788
2019,VAL,57.81213013053178,52.953673884295796,61.00906842427989,57.89284397670843,1.640625732292399,1.7325726458401898
2019,ZAL,55.86214454876662,50.473474135808274,58.63335678427154,54.43893535115963,1.383039254633682,1.301192337647446
2019,ZEN,53.21738316512768,50.42637334013019,59.16536543409936,54.915775267773405,1.4781454339052378,1.4634022885248374
